id,lat,lng,horario,tipo,direccion
63,-34.45086,-58.9065, 08:00 a 20:00 hs,Centro de Carga,TRATADO DE PILAR AV. 275
64,-34.44869,-58.90801, 08:00 a 20:00 hs,Centro de Carga,PARAGUAY 361
65,-34.45696,-58.90957, 08:00 a 20:00 hs,Centro de Carga,CHACABUCO 502
66,-34.67065,-58.39039, 08:00 a 20:00 hs,Centro de Carga,RIVADAVIA BERNARDINO PRES. 902
67,-34.7769,-58.1888, 08:00 a 20:00 hs,Centro de Carga,CALLE 152 3381
68,-34.77654,-58.18884, 08:00 a 20:00 hs,Centro de Carga,LOREA JUAN CARLOS 3350
69,-34.6904,-58.42057, 09:00 a 18:00 hs,Centro de Carga,AV RIVADAVIA 2602
70,-34.70655,-58.40284, 10:00 a 18:00 hs,Centro de Carga,25 DE MAYO 740
71,-34.71138,-58.38599, 09:00 a 18:00 hs,Centro de Carga,SALTA 2021
72,-34.70601,-58.3898, 09:00 a 18:00 hs,Centro de Carga,29 DE SEPTIEMBRE 1828
73,-34.68954,-58.3934, 10:00 a 20:00 hs,Centro de Carga,REMEDIOS DE ESCALADA DE SAN MARTÍN 780
74,-34.70707,-58.38788, 09:00 a 17:30 hs,Centro de Carga,ANATOLE FRANCE 1805
75,-34.74607,-58.24871, 09:00 a 20:00 hs,Centro de Carga,BOLIVIA 499
76,-34.71784,-58.37068, 09:00 a 20:00 hs,Centro de Carga,TUCUMAN 2801
77,-34.69214,-58.38963, 09:00 a 18:00 hs,Centro de Carga,AVENIDA HIPOLITO YRIGOYEN 3112
78,-34.709,-58.38891, 08:00 a 21:00 hs,Centro de Carga,AVENIDA 9 DE JULIO 1256
79,-34.70364,-58.41481, 09:00 a 19:00 hs,Centro de Carga,AVENIDA GENERAL JOSÉ DE SAN MARTÍN 3027
80,-34.6373,-58.52735, 08:00 a 20:00 hs,Centro de Carga,BYNON 6955
81,-34.80838,-58.42725, 08:30 a 19:00 hs,Centro de Carga,LUJAN 2323
82,-34.79326,-58.4315, 09:30 a 19:00 hs,Centro de Carga,LUZURIAGA 309
83,-34.79936,-58.42513, 09:00 a 19:00 hs,Centro de Carga,DOYHENARD 113
84,-34.55179,-58.58804, 08:00 a 21:00 hs,Centro de Carga,162 EL JAZMÍN 5004
85,-34.75872,-58.38145, 10:00 a 19:00 hs,Centro de Carga,CERRITO 1800
86,-34.69598,-58.42426, 08:00 a 19:00 hs,Centro de Carga,TAGLE 2935
87,-34.75622,-58.40564, 08:30 a 19:00 hs,Centro de Carga,FRANCISCO PORTELA 664
88,-34.7619,-58.40017, 08:00 a 21:00 hs,Centro de Carga,JOSÉ IGNACIO GORRITI 226
89,-34.76306,-58.39855, 08:00 a 21:00 hs,Centro de Carga,AVENIDA MEEKS 179
90,-34.7639,-58.40318, 08:00 a 18:00 hs,Centro de Carga,JOSÉ EUSEBIO COLOMBRES 397
91,-34.8096,-58.20967, 09:00 a 20:00 hs,Centro de Carga,CAMINO GRAL. BELGRANO 5408
92,-34.69619,-58.53496, 09:00 a 14:00 hs 16:30 a 19:30 hs,Centro de Carga,CROVARA 2472
93,-34.6967,-58.53583, 08:00 a 19:00 hs,Centro de Carga,AVENIDA INT. ESTEBAN CROVARA 1098
94,-34.70145,-58.50177, 09:00 a 19:00 hs,Centro de Carga,BOULOGNE SUR MER 1717
95,-34.70563,-58.49896, 09:00 a 19:00 hs,Centro de Carga,AUTOPISTA RICHIERI Y BOULOGNE SUR M 1
96,-34.78172,-58.40668, 09:00 a 18:00 hs,Centro de Carga,HIPOLITO YRIGOYEN 10699
97,-34.77713,-58.39539, 08:30 a 19:00 hs,Centro de Carga,SANTA RITA DE ORO 22
98,-34.77757,-58.39224, 08:30 a 19:00 hs,Centro de Carga,AVENIDA EVA PERÓN 450
99,-34.42115,-58.57905, 09:00 a 20:00 hs,Centro de Carga,MITRE-ESTAC. FLUVIAL TIGRE LOCAL 7 305
100,-34.42293,-58.73101, 07:30 a 16:30 hs,Centro de Carga,TTE. GRAL. JUAN DOMINGO PERON 1
101,-34.46995,-58.75823, 08:00 a 13:00 hs 16:00 a 21:00 hs,Centro de Carga,MORENO 1149
102,-34.46784,-58.76521, 09:00 a 19:00 hs,Centro de Carga,SANTA INÉS 1136
103,-34.89244,-58.56647, 09:00 a 19:00 hs,Centro de Carga,CANALE 40
104,-34.65536,-58.50895, 08:00 a 21:00 hs,Centro de Carga,AVDA LISANDRO DE LA TORRE 1688
105,-34.66679,-58.50457, 08:00 a 21:00 hs,Centro de Carga,GUAMINI 2636
106,-34.66001,-58.51398, 08:00 a 21:00 hs,Centro de Carga,AVDA JUAN BAUTISTA ALBERDI 7175
107,-34.66019,-58.50314, 08:00 a 21:00 hs,Centro de Carga,AVDA LISANDRO DE LA TORRE 2201
108,-34.64982,-58.48979, 08:00 a 21:00 hs,Centro de Carga,AVDA DIRECTORIO 4852
